Churn,Contract,PaymentMethod,PaperlessBilling,Charges.Monthly,Charges.Total,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies
0,one year,mailed check,yes,65.6,593.3,dsl,no,yes,yes,no
0,month-to-month,mailed check,no,59.9,542.4,dsl,no,no,no,yes
1,month-to-month,electronic check,yes,73.9,280.85,fiber optic,no,no,no,no
1,month-to-month,electronic check,yes,98.0,1237.85,fiber optic,no,no,yes,yes
1,month-to-month,mailed check,yes,83.9,267.4,fiber optic,no,yes,yes,no
0,month-to-month,credit card (automatic),yes,69.4,571.45,dsl,no,yes,yes,yes
0,two year,bank transfer (automatic),yes,109.7,7904.25,fiber optic,yes,yes,yes,yes
0,two year,credit card (automatic),yes,84.65,5377.8,fiber optic,yes,yes,no,no
0,month-to-month,electronic check,yes,48.2,340.35,dsl,yes,no,no,no
0,two year,mailed check,yes,90.45,5957.9,dsl,yes,yes,yes,yes
0,two year,credit card (automatic),no,45.2,2460.55,dsl,yes,yes,yes,no
0,two year,credit card (automatic),yes,116.8,8456.75,fiber optic,yes,yes,yes,yes
0,month-to-month,electronic check,yes,68.95,351.5,fiber optic,no,no,no,no
0,two year,bank transfer (automatic),yes,101.3,7261.25,fiber optic,yes,no,yes,no
0,two year,bank transfer (automatic),no,45.05,2560.1,dsl,yes,yes,no,no
0,two year,credit card (automatic),yes,95.75,6849.4,fiber optic,no,no,no,yes
0,one year,mailed check,no,61.25,1993.2,dsl,yes,yes,yes,yes
0,month-to-month,electronic check,yes,72.1,72.1,fiber optic,no,no,no,no
1,one year,credit card (automatic),no,62.7,2791.5,dsl,yes,no,no,yes
1,month-to-month,electronic check,yes,25.1,25.1,dsl,no,no,no,no
0,one year,electronic check,no,25.2,1306.3,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,electronic check,no,94.1,1215.6,fiber optic,no,no,yes,no
0,month-to-month,electronic check,yes,83.75,1849.95,fiber optic,no,no,yes,no
0,month-to-month,mailed check,no,19.85,57.2,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,mailed check,no,20.35,76.35,no,no internet service,no internet service,no internet service,no internet service
1,month-to-month,bank transfer (automatic),no,30.5,30.5,dsl,yes,no,no,no
0,one year,bank transfer (automatic),yes,103.7,5656.75,fiber optic,no,yes,yes,yes
0,two year,credit card (automatic),no,20.4,1090.6,no,no internet service,no internet service,no internet service,no internet service
0,one year,bank transfer (automatic),yes,19.6,471.85,no,no internet service,no internet service,no internet service,no internet service
0,two year,bank transfer (automatic),no,19.7,1396.9,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,bank transfer (automatic),yes,79.0,929.3,fiber optic,yes,no,no,no
0,one year,credit card (automatic),no,91.2,3247.55,fiber optic,no,no,yes,yes
0,one year,bank transfer (automatic),no,20.45,900.9,no,no internet service,no internet service,no internet service,no internet service
0,one year,bank transfer (automatic),no,115.8,7942.15,fiber optic,yes,yes,yes,yes
0,one year,electronic check,no,20.55,1343.4,no,no internet service,no internet service,no internet service,no internet service
0,two year,credit card (automatic),yes,39.4,825.4,dsl,yes,yes,no,no
0,two year,electronic check,yes,25.1,1070.15,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,bank transfer (automatic),yes,89.8,4959.6,fiber optic,yes,no,yes,no
0,month-to-month,electronic check,yes,94.75,5597.65,fiber optic,yes,no,yes,no
0,two year,bank transfer (automatic),no,20.3,224.5,no,no internet service,no internet service,no internet service,no internet service
0,month-to-month,bank transfer (automatic),yes,75.75,1929.0,fiber optic,no,no,no,no
1,month-to-month,electronic check,yes,49.25,91.1,dsl,yes,no,no,no
0,one year,mailed check,no,78.2,2078.95,dsl,no,yes,yes,yes
